customer_id,service_tier,region,tenure_years,monthly_spend,support_tickets,group,y_true,y_pred,y_prob
CS_000000,Platinum,North,5,527.54,4,Platinum_North,1,1,0.9
CS_000001,Platinum,West,1,108.1,6,Platinum_West,1,1,0.850403745809996
CS_000002,Bronze,South,8,1199.07,0,Bronze_South,0,1,0.5719318632753779
CS_000003,Silver,South,4,1916.57,10,Silver_South,1,1,0.7159854601274674
CS_000004,Silver,East,1,1472.98,17,Silver_East,1,1,0.6944590744056318
CS_000005,Silver,East,10,424.96,2,Silver_East,1,1,0.6855796551303094
CS_000006,Platinum,South,2,791.25,14,Platinum_South,1,1,0.7729664357940168
CS_000007,Gold,East,2,1237.81,5,Gold_East,1,1,0.7489621850302853
CS_000008,Silver,South,6,1693.56,1,Silver_South,1,1,0.6464200487808075
CS_000009,Silver,North,4,1830.62,18,Silver_North,0,0,0.6529355761596956
CS_000010,Bronze,West,3,566.52,7,Bronze_West,0,0,0.627795457933458
CS_000011,Bronze,West,6,477.68,4,Bronze_West,1,1,0.5681818824347588
CS_000012,Platinum,South,3,1594.55,13,Platinum_South,1,1,0.9
CS_000013,Bronze,East,9,1728.52,0,Bronze_East,1,0,0.6529103485967374
CS_000014,Silver,East,2,622.33,5,Silver_East,1,0,0.790763185504216
CS_000015,Silver,South,9,1829.62,20,Silver_South,1,1,0.757789898973201
CS_000016,Gold,East,3,1101.79,16,Gold_East,0,1,0.7397889168920457
CS_000017,Platinum,East,5,516.93,7,Platinum_East,0,1,0.9
CS_000018,Bronze,North,9,1543.38,4,Bronze_North,1,1,0.8493697359409982
CS_000019,Bronze,South,9,1522.77,6,Bronze_South,0,0,0.6597984599994857
CS_000020,Silver,West,9,930.4,7,Silver_West,1,1,0.6776171124294911
CS_000021,Gold,South,1,188.44,20,Gold_South,1,1,0.48348006562206136
CS_000022,Silver,North,9,514.11,15,Silver_North,1,0,0.5864623697450049
CS_000023,Bronze,South,8,1624.62,6,Bronze_South,1,1,0.6717965499029326
CS_000024,Bronze,West,1,1363.06,20,Bronze_West,1,1,0.5405242564204535
CS_000025,Platinum,South,4,420.91,14,Platinum_South,1,1,0.7366976071574466
CS_000026,Platinum,West,9,240.92,20,Platinum_West,0,0,0.9
CS_000027,Gold,South,7,997.0,6,Gold_South,0,1,0.7804885731021097
CS_000028,Platinum,West,5,1856.71,14,Platinum_West,1,1,0.9
CS_000029,Bronze,South,4,628.58,1,Bronze_South,0,0,0.5784390402748548
CS_000030,Platinum,North,10,979.74,16,Platinum_North,1,1,0.9
CS_000031,Gold,North,10,182.52,7,Gold_North,1,1,0.8883192254458179
CS_000032,Platinum,North,7,1331.88,18,Platinum_North,1,1,0.9
CS_000033,Silver,South,5,821.78,20,Silver_South,1,0,0.5832354392543707
CS_000034,Platinum,North,8,1261.26,18,Platinum_North,0,1,0.9
CS_000035,Silver,South,6,1767.69,7,Silver_South,1,0,0.6715493664714464
CS_000036,Silver,North,9,633.79,3,Silver_North,0,1,0.6668582228786735
CS_000037,Platinum,South,5,599.42,6,Platinum_South,1,1,0.7907194624654905
CS_000038,Silver,West,5,1815.41,1,Silver_West,1,1,0.7247151545127453
CS_000039,Platinum,East,3,1292.37,8,Platinum_East,1,1,0.9
CS_000040,Platinum,North,2,1892.85,4,Platinum_North,1,1,0.9
